Title,number of examinations,Subtitle,Questions
36_44,36,44,"網膜色素上皮裂孔が生じるのはどれか．
ａ　妊娠高血圧症候群　　　
ｂ　孤立性脈絡膜血管腫
ｃ　滲出型加齢黄斑変性　　
ｄ　急性帯状潜在性網膜外層症（AZOOR）
ｅ　多発性後極部網膜色素上皮症（MPPE）"
36_45,36,45,"副腎皮質ステロイドの合併症はどれか．
ａ　点状脈絡膜内層症（PIC）　　　　　　　　
ｂ　多発消失性白点症候群（MEWDS）
ｃ　急性帯状潜在性網膜外層症（AZOOR）　　
ｄ　多発性後極部網膜色素上皮症（MPPE）
ｅ　急性後部多発性斑状色素上皮症（APMPPE）"
36_46,36,46,"von Hippel-­Lindau 病で正しいのはどれか．2 つ選べ．
ａ　両眼性が多い．　　　　　　　
ｂ　非遺伝性疾患である．
ｃ　裂孔原性網膜剝離を来す．　　
ｄ　神経皮膚症候群の 1 つである．
ｅ　小脳や網膜に血管腫を認める．"
36_47,36,47,"黄斑部毛細血管拡張症で正しいのはどれか．
ａ Type 1 は女性に多い．　　　
ｂ Type 1 は網膜光凝固が第一選択である．
ｃ Type 2 は片眼性が多い．　　
ｄ Type 2 は病初期から網膜膨化がみられる．
ｅ Type 2 は抗 VEGF 薬硝子体内注射が第一選択である．"
36_48,36,48,"病的近視の代表的黄斑合併症でないのはどれか．
ａ　黄斑出血　　
ｂ　網膜剝離　　
ｃ　網膜分離　　
ｄ　脈絡膜新生血管　　
ｅ　網膜色素上皮剝離"
36_49,36,49,"黄斑ジストロフィと診断されるのはどれか．2 つ選べ．
ａ    Stargardt 病　　　　　 
ｂ　萎縮型加齢黄斑変性　　
ｃ　近視性網脈絡膜萎縮
ｄ　黄斑部毛細血管拡張症　　
ｅ    X 連鎖性若年網膜分離症"
36_50,36,50,"組合せで正しいのはどれか．2 つ選べ．
ａ Blau 症候群　　　　　　眼瞼下垂
ｂ Usher 症候群　　　　　 網膜色素変性
ｃ Scheie 症候群　　　　　角膜混濁
ｄ Hurler 症候群　　　　 網膜色素変性
ｅ Marfan 症候群　　　　 円錐角膜"
36_51,36,51,"我が国における内因性細菌性眼内炎の主な起炎菌はどれか．2 つ選べ．
ａ Bacillus spp.　　　　 
ｂ Escherichia coli　　
ｃ Klebsiella pneumoniae
ｄ Staphylococcus aureus　　
ｅ coagulase­negative Staphylococci"
36_52,36,52,"結核に伴う眼所見で誤っているのはどれか．
ａ　強膜炎　　
ｂ　虹彩萎縮　　
ｃ　網膜出血　　
ｄ　軟性白斑　　
ｅ　脈絡膜結節"
36_53,36,53,"梅毒性ぶどう膜炎で誤っているのはどれか．
ａ　視神経炎を来す．　　　
ｂ　網膜血管炎を来す．
ｃ　近年増加傾向にある． 
ｄ　後極部円板状滲出斑を来す．
ｅ　トレポネーマ抗体検査には生物学的偽陽性がある．"
36_54,36,54,"Marfan 症候群の特徴で正しいのはどれか．2 つ選べ．
ａ　近視　　
ｂ　口蓋裂　　
ｃ　角膜肥厚　　
ｄ　高次収差増加　　
ｅ　常染色体潜性遺伝（劣性遺伝）"
36_55,36,55,"ミトコンドリア遺伝子異常はどれか．2 つ選べ．
ａ Stickler 症候群　　　　　 
ｂ Leber 遺伝性視神経症　　
ｃ　慢性進行性外眼筋麻痺
ｄ　顆粒状角膜ジストロフィ　　
ｅ Bloch­Sulzberger 症候群"
36_56,36,56,"乱視を軽減する方法で正しいのはどれか．
ａ　倒乱視の角膜の白内障手術を上方切開で行った．
ｂ　全層角膜移植後，直乱視の強い角膜に 12 時方向の縫合を加えた．
ｃ　深部層状角膜移植（DALK）術後の倒乱視に白内障手術を上方切開で行った．
ｄ　側方切開の角膜内皮移植術後に直乱視が強かったので主創口の抜糸をした．
ｅ　単結紮による全層角膜移植後に倒乱視が強かったので水平方向の抜糸をした．"
36_57,36,57,"調節ラグが小さくなるのはどれか．
ａ　老視　　
ｂ　近見内斜位　　
ｃ　矯正視力不良　　
ｄ　近視過矯正眼鏡　　
ｅ　累進屈折力眼鏡"
36_58,36,58,"`1.00 D の乱視を完全矯正する円柱レンズの軸を 30°シフトさせたとき，残余乱視の度数（Ｄ）はどれか．
ａ 0.25　　
ｂ 0.33　　
ｃ 0.50　　
ｄ 0.67　　
ｅ 1.00"
36_59,36,59,"検査距離 50 cm で，患者の眼前 12 mm に板付きレンズをかざし，検影法を行った．
＋5.00 D のレンズで中和した場合，患者の屈折値（Ｄ）はどれか．
ａ ＋3.00　　
ｂ ＋4.00　　
ｃ ＋5.00　　
ｄ ＋6.00　　
ｅ ＋7.00"
36_60,36,60,"オルソケラトロジーの禁忌はどれか．
ａ　高血圧　　　　　　　　　　
ｂ　未成年者　　
ｃ　近視度数－3.00 D
ｄ　暗所瞳孔径が大きな患者　　
ｅ　角膜知覚の低下している患者"
36_61,36,61,"`＋3.00 D の遠視で調節力が 2.00 D であった．＋5.00 D の近用眼鏡を装用した場合の遠点と近点はどれか．
ａ　遠点 33 cm　近点 20 cm 
ｂ　遠点 50 cm　近点 25 cm　　
ｃ　遠点 50 cm　近点 33 cm
ｄ　遠点 100 cm　近点 25 cm　　
ｅ　遠点 100 cm　近点 33 cm"
36_62,36,62,"自覚的回旋斜視角の測定法はどれか．2 つ選べ．
ａ　眼底写真　　　　　　　　
ｂ　大型弱視鏡　　
ｃ Hess 赤緑試験
ｄ　交代プリズム遮閉試験　　
ｅ Maddox double rods 試験"
36_63,36,63,"最も日常視に近い網膜対応視検査はどれか．
ａ　残像検査　　　　　　　　
ｂ　大型弱視鏡　　
ｃ    Worth4 灯検査
ｄ　位相差ハプロスコープ　　
ｅ    Bagolini 線条レンズ検査"
36_64,36,64,"小児への 1％シクロペントラート塩酸塩点眼の最も頻度が高い副作用はどれか．
ａ　発熱　　
ｂ　眠気　　
ｃ　心悸亢進　　
ｄ　顔面紅潮　　
ｅ　嘔気・嘔吐"
36_65,36,65,"右眼の上斜筋麻痺の患者でみられるのはどれか．
ａ　右眼の下斜視　　　　　　　 
ｂ　右眼の内方回旋　　
ｃ　右側への頭部傾斜
ｄ　左方視時で左眼の up­shoot　　
ｅ　左下方視で左眼下直筋の過動"
36_66,36,66,"滑車神経麻痺で正しいのはどれか．
ａ　回旋複視は生じない．　　　　
ｂ　上斜筋麻痺と同義である．
ｃ　病変の同側にのみ生じる．　　
ｄ　原因のほとんどは脳圧亢進である．
ｅ　相対的瞳孔求心路障害を伴えば中脳背側病変を疑う．"
36_67,36,67,"近視性不同視弱視で誤っているのはどれか．
ａ　潜伏眼振を伴う．　　　　　　　
ｂ　眼軸長に左右差を認める．
ｃ　治療にアイパッチを用いる．　　
ｄ　遠視性不同視弱視より予後が悪い．
ｅ　完全矯正眼鏡装用にて僚眼と比較して物体は小さく見える．"
36_68,36,68,"鼻梁の発達が不十分な小児の眼鏡処方で選択するテンプル・モダンの形状はどれか．2 つ選べ．
ａ　長手　　
ｂ　半かけ　　
ｃ　ショート　　
ｄ 2 段曲がり　　
ｅ　巻きつる式"
36_69,36,69,"感覚性外斜視の定量に有用な検査方法はどれか．
ａ    Maddox 杆法　　　　　 
ｂ　交代プリズム遮閉試験　　
ｃ　単眼プリズム遮閉試験
ｄ　同時プリズム遮閉試験　　
ｅ    Krimsky プリズム試験"
36_70,36,70,"パネル D­15 テストで正しいのはどれか．
ａ　後天色覚異常の検査に用いる．　　
ｂ　色覚異常の有無を判定できる．
ｃ　色覚異常の型判定はできない．　　
ｄ　検査結果は pass か fail で判定する．
ｅ　色覚異常の程度を軽度と中等度以上に分ける．"
36_71,36,71,"常染色体優性視神経萎縮で正しいのはどれか．
ａ　指定難病である．　　　　　　　
ｂ　難聴を合併する．　　
ｃ OPA1 遺伝子異常を認める．
ｄ　後天赤緑色覚異常を呈する．　　
ｅ　視神経乳頭周囲毛細血管拡張を伴う．"
36_72,36,72,"抗アクアポリン 4 抗体陽性視神経炎の再発予防に用いるのはどれか．
ａ　血漿交換　　　　　　　
ｂ　サトラリズマブ　　
ｃ　免疫グロブリン
ｄ　インターフェロンβ　　
ｅ　メチルプレドニゾロン"
36_73,36,73,"上方注視麻痺で正しいのはどれか．
ａ Bell 現象が陽性である．　　　　
ｂ　眼瞼下垂を伴うことが多い．
ｃ　人形の目現象が陰性である．　　
ｄ　片側の riMLF 障害では起きない．
ｅ　複視の幅が上方視，下方視で変わらない．"
36_74,36,74,"先天眼振で誤っているのはどれか．
ａ　輻湊にて減弱する．　　
ｂ　錯倒現象を認める．　　
ｃ　注視にて増強する．
ｄ　動揺視を自覚する．　　
ｅ Alexander の法則に従う．"
36_75,36,75,"42 歳の女性．右眼が発作的に揺れて見えるとのことで来院した．眼瞼には形態的異常はみられない．診断はどれか．
ａ　潜伏眼振　　
ｂ　眼瞼けいれん　　
ｃ　調節けいれん　　
ｄ　眼瞼ミオキミア　　
ｅ　上斜筋ミオキミア"
36_76,36,76,"隅角鏡検査所見で角膜側からの順番で正しいのはどれか．
ａ Schwalbe 線，色素帯，強膜岬，毛様体帯　　
ｂ Schwalbe 線，強膜岬，色素帯，毛様体帯
ｃ Schwalbe 線，色素帯，毛様体帯，強膜岬　　
ｄ　強膜岬，Schwalbe 線，色素帯，毛様体帯
ｅ　色素帯，強膜岬，Schwalbe 線，毛様体帯"
36_77,36,77,"Humphrey 自動視野計による視野検査で正しいのはどれか．
ａ　パターン標準偏差は後期緑内障で上昇する．
ｂ　エスターマンテストは下方に検査点が多い．
ｃ　中心 10­2 テストは，測定点が 1 度間隔で配置されている．
ｄ    SITA Fast プログラムでは視標輝度を 4 dB ずつ変化させる．
ｅ　後期緑内障の進行判定には自動静的視野計よりも OCT が有用である．"
36_78,36,78,"緑内障の進行に関係する危険因子はどれか．2 つ選べ．
ａ　乳頭出血　　　　　　　　
ｂ　低い眼灌流圧　　
ｃ　中心角膜厚の肥厚
ｄ　高い角膜ヒステレシス　　
ｅ　大きな乳頭周囲脈絡網膜萎縮のγ域"
36_79,36,79,"原発閉塞隅角緑内障と前駆病変で誤っているのはどれか．
ａ　治療の第一選択は薬物治療である．
ｂ　相対的瞳孔ブロックが成因に関与していることが多い．
ｃ　器質的隅角閉塞の診断には動的隅角鏡検査が必要である．
ｄ　急性原発閉塞隅角症では，頭痛，眼痛，嘔気などがみられる．
ｅ　急性原発閉塞隅角症対側の狭隅角眼は予防的治療の適応である．"
36_80,36,80,"緑内障の薬物治療で正しいのはどれか．
ａ　配合点眼薬使用によりアドヒアランスの悪化が生じる．
ｂ　後期緑内障に対しては神経保護治療が第一選択である．
ｃ　点眼後は速やかな吸収を促進するため瞬目を推奨する．
ｄ　後期緑内障では OCT による進行判定に基づき薬物の増減を判断する．
ｅ　ベースラインデータと危険因子を勘案して症例ごとに目標眼圧を設定する．"
36_81,36,81,"眼圧下降点眼薬のうち第一選択薬として使用できるのはどれか．2 つ選べ．
ａ　ドルゾラミド塩酸塩　　　　
ｂ　ブリモニジン酒石酸塩　　
ｃ　カルテオロール塩酸塩
ｄ　リパスジル塩酸塩水和物　　
ｅ　オミデネパグ・イソプロピル"
36_82,36,82,"配合点眼薬を用いて 2 本にまとめて処方できるのはどれか．
ａ　ブリモニジン酒石酸塩，ドルゾラミド塩酸塩，ビマトプロスト
ｂ　タフルプロスト，カルテオロール塩酸塩，ブリモニジン酒石酸塩
ｃ　オミデネパグ・イソプロピル，リパスジル塩酸塩水和物，ブリンゾラミド
ｄ チモロールマレイン酸塩，ブリモニジン酒石酸塩，ドルゾラミド塩酸塩，ラタノプロスト
ｅ リパスジル塩酸塩水和物，チモロールマレイン酸塩，ブリモニジン酒石酸塩，ラタノプロスト"
36_83,36,83,"Schlemm 管より後方に房水流出抵抗の主座がある続発緑内障の原因疾患はどれか．2 つ選べ．
ａ　ステロイド緑内障　　 
ｂ　海綿静脈洞血栓症　　
ｃ　プラトー虹彩症候群
ｄ    Sturge­-Weber 症候群　　
ｅ　虹彩角膜内皮（ICE）症候群"
36_84,36,84,"レーザー線維柱帯形成術直後に生じる合併症はどれか．2 つ選べ．
ａ　虹彩炎　　
ｂ　白内障　　
ｃ　眼圧上昇　　
ｄ　角膜内皮障害　　
ｅ　周辺虹彩前癒着"
36_85,36,85,"線維柱帯切除術後のレーザー切糸術による合併症はどれか．2 つ選べ．
ａ　結膜穿孔　　
ｂ　眼圧上昇　　
ｃ　前房出血　　
ｄ　脈絡膜剝離　　
ｅ　角膜内皮障害"
36_86,36,86,"眼外傷にみられる所見の中で早期手術が必要なのはどれか．2 つ選べ．
ａ　黄斑円孔　　
ｂ　虹彩脱出　　
ｃ　鋸状縁断裂　　
ｄ　脈絡膜破裂　　
ｅ　毛様体解離"
36_87,36,87,"外傷性散瞳で正しいのはどれか．
ａ　周辺虹彩切除術で生じる．　　　
ｂ　房水主流出路障害が生じる．
ｃ　間接対光反射は陰性である．　　
ｄ　瞳孔散大筋の緊張が原因である．
ｅ　ピロカルピン塩酸塩点眼によって縮瞳する．"
36_88,36,88,"治療用コンタクトレンズが有効な疾患はどれか．2 つ選べ．
ａ　角膜穿孔　　　　　　　
ｂ　角膜内皮炎　　
ｃ　再発性角膜びらん
ｄ　円錐角膜の急性水腫　　
ｅ　アカントアメーバ角膜炎"
36_89,36,89,"`－9.00 Dのコンタクトレンズで完全矯正されているとき，眼鏡での完全矯正に変更する場合の球面度数（D）はどれか．
ａ －8.00　　
ｂ －9.00　　
ｃ －9.50　　
ｄ －10.00　　
ｅ －11.00"
36_90,36,90,"主要な眼障害としてぶどう膜炎が生じる抗がん剤はどれか．
ａ　シタラビン（キロサイド ®）　　　　
ｂ　ニボルマブ（オプジーボ ®）　　
ｃ　ゲフィチニブ（イレッサ ®）
ｄ　パクリタキセル（タキソール ®）　　
ｅ　タモキシフェンクエン酸塩（ノルバデックス ®）"
36_91,36,91,"結膜囊常在菌はどれか．2 つ選べ．
ａ　緑膿菌　　
ｂ　肺炎球菌　　
ｃ　表皮ブドウ球菌　　
ｄ　インフルエンザ菌　　
ｅ　コリネバクテリウム"
36_92,36,92,"白内障術後遅発性眼内炎の起炎菌で最も多いのはどれか．
ａ Streptococcus spp.　　　 
ｂ Cutibacterium acnes　　
ｃ Enterococcus faecalis
ｄ Staphylococcus aureus　　
ｅ coagulase­negative Staphylococci"
36_93,36,93,"PA・ヨード点眼・洗眼液で正しいのはどれか．
ａ　希釈後は常温で保存する．　　　　　
ｂ　眼瞼皮膚の殺菌には無効である．
ｃ　角膜上皮ヘルペスに有効である．　　
ｄ　適所であれば 7 日以上の保存が可能である．
ｅ　オキシグルタチオン溶液で希釈して使用する．"
36_94,36,94,"羊膜移植術の適応とならない疾患はどれか．
ａ　角膜穿孔　　
ｂ　再発翼状片　　
ｃ　眼類天疱瘡　　
ｄ　水疱性角膜症　　
ｅ　細菌性角膜潰瘍"
36_95,36,95,"疾患と術式の組合せで誤っているのはどれか．
ａ　眼瞼下垂　　　　　　挙筋短縮術
ｂ　眼瞼内反症　　　　　Jones 法
ｃ　甲状腺眼症　　　　　眼窩減圧術
ｄ　眼瞼外反症　　　　　眼輪筋短縮術
ｅ　鼻涙管閉塞　　　　　涙囊鼻腔吻合術"
36_96,36,96,"正常角膜におけるスペキュラマイクロスコピーの測定結果はどれか．
ａ　滴状角膜の存在　　　　　 
ｂ　変動係数（CV）：0.3　　
ｃ　平均細胞面積：600μm2
ｄ　六角形細胞出現率：30％ 　　
ｅ　角膜内皮細胞密度（CD）：500/mm2"
